CodEntrega,CodVenta,CodProveedor,Proveedor,CodAlmacen,Almacen,CodEstado,Estado,Fecha_Envio,Fecha_Entrega
43,61,4,Envios Nacionales,1,Centro Norte,1,En preparación,2020-01-09,2020-01-14
44,63,1,Logística Express,2,Hub Logístico,3,Entregado,2020-01-08,2020-01-13
45,65,1,Flash Delivery,3,Centro Oeste,2,En tránsito,2020-01-07,2020-01-08
46,68,3,Logística Express,3,Centro Oeste,1,En preparación,2020-01-08,2020-01-10
47,70,2,Envios Nacionales,3,Centro Oeste,4,Devuelto,2020-01-10,2020-01-13
48,71,3,Logística Express,3,Centro Oeste,4,Devuelto,2020-01-09,2020-01-13
49,72,3,QuickSend,2,Hub Logístico,2,En tránsito,2020-01-08,2020-01-13
50,73,1,QuickSend,4,Depósito Sur,4,Devuelto,2020-01-09,2020-01-13
51,74,3,Flash Delivery,3,Centro Oeste,3,Entregado,2020-01-08,2020-01-09
52,76,2,Flash Delivery,3,Centro Oeste,2,En tránsito,2020-01-10,2020-01-14
53,78,3,QuickSend,4,Depósito Sur,1,En preparación,2020-01-11,2020-01-12
54,81,4,Flash Delivery,3,Centro Oeste,4,Devuelto,2020-01-10,2020-01-12
55,82,1,Envios Nacionales,2,Hub Logístico,3,Entregado,2020-01-11,2020-01-12
56,83,2,QuickSend,4,Depósito Sur,1,En preparación,2020-01-11,2020-01-15
57,85,3,Flash Delivery,2,Hub Logístico,2,En tránsito,2020-01-10,2020-01-14
58,86,4,Envios Nacionales,3,Centro Oeste,3,Entregado,2020-01-09,2020-01-14
59,88,3,Logística Express,3,Centro Oeste,1,En preparación,2020-01-11,2020-01-15
60,91,2,Logística Express,4,Depósito Sur,2,En tránsito,2020-01-12,2020-01-14
61,92,2,Logística Express,4,Depósito Sur,4,Devuelto,2020-01-10,2020-01-15
62,94,4,QuickSend,4,Depósito Sur,2,En tránsito,2020-01-11,2020-01-15
63,95,4,Envios Nacionales,4,Depósito Sur,2,En tránsito,2020-01-13,2020-01-15
64,96,2,Logística Express,1,Centro Norte,4,Devuelto,2020-01-11,2020-01-13
65,97,3,QuickSend,3,Centro Oeste,3,Entregado,2020-01-11,2020-01-16
66,98,3,QuickSend,4,Depósito Sur,2,En tránsito,2020-01-13,2020-01-14
67,99,2,Flash Delivery,3,Centro Oeste,4,Devuelto,2020-01-13,2020-01-16
68,102,2,Logística Express,4,Depósito Sur,2,En tránsito,2020-01-12,2020-01-17
69,103,1,QuickSend,1,Centro Norte,2,En tránsito,2020-01-12,2020-01-16
70,104,1,Envios Nacionales,3,Centro Oeste,3,Entregado,2020-01-12,2020-01-17
71,105,3,Flash Delivery,2,Hub Logístico,3,Entregado,2020-01-13,2020-01-17
72,106,2,Logística Express,4,Depósito Sur,3,Entregado,2020-01-13,2020-01-18
73,107,3,Logística Express,2,Hub Logístico,2,En tránsito,2020-01-13,2020-01-15
74,108,3,Logística Express,3,Centro Oeste,2,En tránsito,2020-01-13,2020-01-15
75,109,3,Envios Nacionales,2,Hub Logístico,3,Entregado,2020-01-13,2020-01-16
76,111,4,Envios Nacionales,2,Hub Logístico,2,En tránsito,2020-01-14,2020-01-17
77,113,2,QuickSend,1,Centro Norte,2,En tránsito,2020-01-12,2020-01-16
78,117,1,QuickSend,1,Centro Norte,3,Entregado,2020-01-13,2020-01-18
79,118,2,Logística Express,4,Depósito Sur,2,En tránsito,2020-01-13,2020-01-15
80,119,3,QuickSend,2,Hub Logístico,1,En preparación,2020-01-13,2020-01-16
81,120,3,Logística Express,4,Depósito Sur,1,En preparación,2020-01-15,2020-01-19
82,122,1,Envios Nacionales,1,Centro Norte,3,Entregado,2020-01-14,2020-01-19
83,123,2,Envios Nacionales,3,Centro Oeste,3,Entregado,2020-01-14,2020-01-17
84,125,2,QuickSend,2,Hub Logístico,1,En preparación,2020-01-13,2020-01-14
85,127,1,Flash Delivery,1,Centro Norte,2,En tránsito,2020-01-15,2020-01-20
86,129,3,Flash Delivery,2,Hub Logístico,4,Devuelto,2020-01-15,2020-01-20
87,130,2,Logística Express,3,Centro Oeste,4,Devuelto,2020-01-15,2020-01-18
88,131,4,Flash Delivery,3,Centro Oeste,2,En tránsito,2020-01-14,2020-01-19
89,132,2,Envios Nacionales,1,Centro Norte,2,En tránsito,2020-01-14,2020-01-16
90,133,1,QuickSend,1,Centro Norte,3,Entregado,2020-01-14,2020-01-17
91,134,3,Logística Express,1,Centro Norte,1,En preparación,2020-01-16,2020-01-19
92,135,1,Flash Delivery,4,Depósito Sur,1,En preparación,2020-01-16,2020-01-17
93,136,1,QuickSend,1,Centro Norte,2,En tránsito,2020-01-16,2020-01-19
94,137,2,Flash Delivery,4,Depósito Sur,4,Devuelto,2020-01-14,2020-01-19
95,139,1,Envios Nacionales,4,Depósito Sur,4,Devuelto,2020-01-15,2020-01-18
96,140,1,Flash Delivery,1,Centro Norte,2,En tránsito,2020-01-14,2020-01-19
97,141,4,Logística Express,1,Centro Norte,2,En tránsito,2020-01-15,2020-01-17
98,142,4,QuickSend,1,Centro Norte,3,Entregado,2020-01-15,2020-01-20
99,143,1,QuickSend,4,Depósito Sur,2,En tránsito,2020-01-17,2020-01-20
100,148,1,Flash Delivery,1,Centro Norte,3,Entregado,2020-01-16,2020-01-17
101,150,2,Flash Delivery,2,Hub Logístico,4,Devuelto,2020-01-17,2020-01-22
102,153,3,Envios Nacionales,2,Hub Logístico,2,En tránsito,2020-01-16,2020-01-17
103,154,3,Flash Delivery,3,Centro Oeste,3,Entregado,2020-01-16,2020-01-21
104,155,1,QuickSend,4,Depósito Sur,4,Devuelto,2020-01-15,2020-01-20
105,156,2,Flash Delivery,3,Centro Oeste,1,En preparación,2020-01-16,2020-01-20
106,157,3,QuickSend,1,Centro Norte,3,Entregado,2020-01-17,2020-01-21
107,158,4,Logística Express,4,Depósito Sur,1,En preparación,2020-01-16,2020-01-21
108,159,3,Logística Express,3,Centro Oeste,3,Entregado,2020-01-16,2020-01-18
109,161,3,Envios Nacionales,2,Hub Logístico,3,Entregado,2020-01-17,2020-01-22
110,162,2,QuickSend,2,Hub Logístico,2,En tránsito,2020-01-17,2020-01-18
111,163,4,QuickSend,4,Depósito Sur,2,En tránsito,2020-01-19,2020-01-21
112,164,3,Logística Express,3,Centro Oeste,4,Devuelto,2020-01-19,2020-01-20
113,165,1,QuickSend,4,Depósito Sur,4,Devuelto,2020-01-17,2020-01-20
114,166,1,Logística Express,1,Centro Norte,3,Entregado,2020-01-19,2020-01-22
115,167,3,Flash Delivery,1,Centro Norte,4,Devuelto,2020-01-17,2020-01-22
116,168,4,Envios Nacionales,1,Centro Norte,3,Entregado,2020-01-19,2020-01-21
117,169,1,Logística Express,1,Centro Norte,4,Devuelto,2020-01-17,2020-01-21
118,170,3,Logística Express,3,Centro Oeste,2,En tránsito,2020-01-18,2020-01-22
119,171,2,Logística Express,1,Centro Norte,2,En tránsito,2020-01-17,2020-01-19
120,173,2,Envios Nacionales,3,Centro Oeste,1,En preparación,2020-01-17,2020-01-21
121,174,4,Flash Delivery,4,Depósito Sur,4,Devuelto,2020-01-17,2020-01-18
122,175,4,Flash Delivery,4,Depósito Sur,2,En tránsito,2020-01-19,2020-01-21
123,176,1,QuickSend,2,Hub Logístico,1,En preparación,2020-01-18,2020-01-21
124,177,1,Flash Delivery,1,Centro Norte,1,En preparación,2020-01-18,2020-01-22
125,178,2,QuickSend,4,Depósito Sur,1,En preparación,2020-01-18,2020-01-23
126,180,3,Envios Nacionales,1,Centro Norte,4,Devuelto,2020-01-19,2020-01-22
127,181,4,Envios Nacionales,3,Centro Oeste,2,En tránsito,2020-01-18,2020-01-20
128,182,1,Envios Nacionales,1,Centro Norte,1,En preparación,2020-01-19,2020-01-24
129,183,3,Flash Delivery,2,Hub Logístico,2,En tránsito,2020-01-20,2020-01-24
130,184,3,Logística Express,3,Centro Oeste,3,Entregado,2020-01-19,2020-01-23
131,186,2,Flash Delivery,1,Centro Norte,3,Entregado,2020-01-18,2020-01-20
132,187,2,Logística Express,4,Depósito Sur,4,Devuelto,2020-01-20,2020-01-23
133,188,1,QuickSend,2,Hub Logístico,1,En preparación,2020-01-19,2020-01-24
134,189,1,QuickSend,1,Centro Norte,4,Devuelto,2020-01-21,2020-01-25
135,190,1,QuickSend,1,Centro Norte,2,En tránsito,2020-01-19,2020-01-21
136,193,2,Envios Nacionales,3,Centro Oeste,2,En tránsito,2020-01-21,2020-01-25
137,194,2,Envios Nacionales,3,Centro Oeste,1,En preparación,2020-01-19,2020-01-23
138,195,1,QuickSend,3,Centro Oeste,2,En tránsito,2020-01-20,2020-01-25
139,198,3,QuickSend,3,Centro Oeste,3,Entregado,2020-01-21,2020-01-24
140,199,3,Flash Delivery,4,Depósito Sur,4,Devuelto,2020-01-21,2020-01-24
141,201,3,Logística Express,2,Hub Logístico,1,En preparación,2020-01-20,2020-01-21
142,204,4,Flash Delivery,1,Centro Norte,4,Devuelto,2020-01-20,2020-01-24
143,205,2,Envios Nacionales,4,Depósito Sur,2,En tránsito,2020-01-21,2020-01-24
144,207,2,Envios Nacionales,2,Hub Logístico,1,En preparación,2020-01-21,2020-01-25
145,208,2,Envios Nacionales,2,Hub Logístico,2,En tránsito,2020-01-23,2020-01-27
146,209,3,Flash Delivery,3,Centro Oeste,4,Devuelto,2020-01-21,2020-01-26
147,210,2,Logística Express,4,Depósito Sur,4,Devuelto,2020-01-21,2020-01-23
148,211,1,Flash Delivery,4,Depósito Sur,1,En preparación,2020-01-23,2020-01-26
149,212,1,QuickSend,1,Centro Norte,1,En preparación,2020-01-22,2020-01-27
150,213,4,Logística Express,2,Hub Logístico,1,En preparación,2020-01-23,2020-01-24
151,214,1,QuickSend,3,Centro Oeste,2,En tránsito,2020-01-24,2020-01-26
152,217,2,Logística Express,1,Centro Norte,2,En tránsito,2020-01-22,2020-01-23
153,218,3,Flash Delivery,2,Hub Logístico,2,En tránsito,2020-01-24,2020-01-28
154,219,1,QuickSend,2,Hub Logístico,1,En preparación,2020-01-23,2020-01-24
155,220,1,Envios Nacionales,3,Centro Oeste,2,En tránsito,2020-01-22,2020-01-23
156,221,2,Flash Delivery,1,Centro Norte,3,Entregado,2020-01-22,2020-01-24
157,222,2,Flash Delivery,1,Centro Norte,1,En preparación,2020-01-22,2020-01-27
158,223,3,Flash Delivery,1,Centro Norte,3,Entregado,2020-01-24,2020-01-28
159,224,4,Flash Delivery,1,Centro Norte,2,En tránsito,2020-01-22,2020-01-25
160,225,3,QuickSend,2,Hub Logístico,1,En preparación,2020-01-23,2020-01-27
161,226,3,Flash Delivery,2,Hub Logístico,1,En preparación,2020-01-22,2020-01-23
162,229,2,Flash Delivery,1,Centro Norte,3,Entregado,2020-01-23,2020-01-28
163,230,3,Envios Nacionales,3,Centro Oeste,3,Entregado,2020-01-23,2020-01-26
164,232,1,Envios Nacionales,2,Hub Logístico,2,En tránsito,2020-01-25,2020-01-27
165,234,2,QuickSend,1,Centro Norte,2,En tránsito,2020-01-23,2020-01-28
166,235,2,QuickSend,2,Hub Logístico,2,En tránsito,2020-01-23,2020-01-24
167,236,4,Flash Delivery,2,Hub Logístico,3,Entregado,2020-01-23,2020-01-24
168,237,2,Flash Delivery,2,Hub Logístico,2,En tránsito,2020-01-25,2020-01-26
169,238,2,Envios Nacionales,3,Centro Oeste,1,En preparación,2020-01-23,2020-01-25
170,240,4,Logística Express,4,Depósito Sur,1,En preparación,2020-01-25,2020-01-26
171,243,2,Flash Delivery,4,Depósito Sur,2,En tránsito,2020-01-26,2020-01-31
172,244,4,Flash Delivery,1,Centro Norte,1,En preparación,2020-01-24,2020-01-25
173,245,1,Envios Nacionales,4,Depósito Sur,1,En preparación,2020-01-27,2020-02-01
174,247,2,Logística Express,4,Depósito Sur,1,En preparación,2020-01-26,2020-01-27
175,248,2,Envios Nacionales,3,Centro Oeste,1,En preparación,2020-01-25,2020-01-27
176,249,4,Logística Express,4,Depósito Sur,1,En preparación,2020-01-26,2020-01-29
177,250,2,Flash Delivery,4,Depósito Sur,2,En tránsito,2020-01-26,2020-01-29
178,252,1,Logística Express,3,Centro Oeste,3,Entregado,2020-01-28,2020-01-29
179,253,1,Logística Express,4,Depósito Sur,2,En tránsito,2020-01-27,2020-02-01
180,254,2,Envios Nacionales,1,Centro Norte,2,En tránsito,2020-01-26,2020-01-27
181,257,1,Envios Nacionales,1,Centro Norte,2,En tránsito,2020-01-29,2020-01-30
182,258,4,QuickSend,2,Hub Logístico,1,En preparación,2020-01-27,2020-01-30
183,260,1,QuickSend,2,Hub Logístico,1,En preparación,2020-01-28,2020-02-02
184,261,4,Envios Nacionales,2,Hub Logístico,3,Entregado,2020-01-27,2020-01-28
185,262,3,Envios Nacionales,2,Hub Logístico,2,En tránsito,2020-01-28,2020-02-01
186,264,3,Envios Nacionales,4,Depósito Sur,4,Devuelto,2020-01-29,2020-01-31
187,265,1,QuickSend,4,Depósito Sur,1,En preparación,2020-01-30,2020-02-01
188,266,3,Envios Nacionales,1,Centro Norte,4,Devuelto,2020-01-29,2020-01-31
189,267,4,Logística Express,2,Hub Logístico,4,Devuelto,2020-01-28,2020-01-31
190,269,3,QuickSend,1,Centro Norte,2,En tránsito,2020-01-30,2020-02-02
191,270,3,QuickSend,1,Centro Norte,1,En preparación,2020-01-30,2020-01-31
192,271,2,Flash Delivery,4,Depósito Sur,1,En preparación,2020-01-30,2020-02-03
193,273,3,Logística Express,3,Centro Oeste,1,En preparación,2020-01-28,2020-01-30
194,274,1,QuickSend,1,Centro Norte,4,Devuelto,2020-01-29,2020-01-30
195,275,1,Flash Delivery,2,Hub Logístico,3,Entregado,2020-01-29,2020-01-31
196,276,3,QuickSend,3,Centro Oeste,2,En tránsito,2020-01-30,2020-02-04
197,281,4,Logística Express,2,Hub Logístico,1,En preparación,2020-01-31,2020-02-02
198,282,2,Flash Delivery,4,Depósito Sur,4,Devuelto,2020-01-31,2020-02-03
199,284,1,Envios Nacionales,1,Centro Norte,3,Entregado,2020-01-30,2020-01-31
200,285,1,Flash Delivery,2,Hub Logístico,1,En preparación,2020-01-30,2020-02-04
201,286,4,Envios Nacionales,3,Centro Oeste,3,Entregado,2020-01-30,2020-02-01
202,287,1,Flash Delivery,2,Hub Logístico,4,Devuelto,2020-01-31,2020-02-02
203,288,2,QuickSend,4,Depósito Sur,4,Devuelto,2020-01-31,2020-02-03
204,290,2,Flash Delivery,4,Depósito Sur,1,En preparación,2020-02-02,2020-02-05
205,291,1,QuickSend,4,Depósito Sur,3,Entregado,2020-02-01,2020-02-03
206,292,3,QuickSend,2,Hub Logístico,3,Entregado,2020-02-02,2020-02-05
207,295,2,Logística Express,1,Centro Norte,2,En tránsito,2020-02-01,2020-02-04
208,297,4,Envios Nacionales,3,Centro Oeste,3,Entregado,2020-02-02,2020-02-07
209,298,1,Flash Delivery,3,Centro Oeste,3,Entregado,2020-02-02,2020-02-07
210,300,4,QuickSend,1,Centro Norte,4,Devuelto,2020-02-02,2020-02-03
211,302,2,QuickSend,2,Hub Logístico,4,Devuelto,2020-02-03,2020-02-06
212,303,1,QuickSend,1,Centro Norte,3,Entregado,2020-02-02,2020-02-04
213,304,4,Logística Express,1,Centro Norte,3,Entregado,2020-02-01,2020-02-02
214,305,2,Flash Delivery,2,Hub Logístico,3,Entregado,2020-02-01,2020-02-05
215,306,3,Envios Nacionales,4,Depósito Sur,4,Devuelto,2020-02-02,2020-02-07
216,308,3,QuickSend,4,Depósito Sur,3,Entregado,2020-02-02,2020-02-04
217,309,3,QuickSend,1,Centro Norte,3,Entregado,2020-02-02,2020-02-07
218,312,2,Logística Express,1,Centro Norte,2,En tránsito,2020-02-03,2020-02-04
219,313,2,Envios Nacionales,2,Hub Logístico,4,Devuelto,2020-02-05,2020-02-10
220,314,3,Logística Express,1,Centro Norte,1,En preparación,2020-02-04,2020-02-06
221,315,4,Envios Nacionales,4,Depósito Sur,4,Devuelto,2020-02-03,2020-02-06
222,317,4,Logística Express,1,Centro Norte,3,Entregado,2020-02-03,2020-02-05
223,318,1,Logística Express,4,Depósito Sur,2,En tránsito,2020-02-04,2020-02-06
224,319,3,QuickSend,1,Centro Norte,4,Devuelto,2020-02-03,2020-02-04
225,320,1,QuickSend,4,Depósito Sur,3,Entregado,2020-02-05,2020-02-10
226,321,4,Flash Delivery,4,Depósito Sur,1,En preparación,2020-02-05,2020-02-06
227,322,1,QuickSend,3,Centro Oeste,4,Devuelto,2020-02-05,2020-02-07
228,323,4,QuickSend,3,Centro Oeste,2,En tránsito,2020-02-05,2020-02-08
229,324,4,Logística Express,4,Depósito Sur,1,En preparación,2020-02-05,2020-02-09
230,326,4,QuickSend,1,Centro Norte,1,En preparación,2020-02-04,2020-02-08
231,327,1,Logística Express,4,Depósito Sur,1,En preparación,2020-02-04,2020-02-08
232,328,4,QuickSend,3,Centro Oeste,3,Entregado,2020-02-04,2020-02-08
233,329,1,Flash Delivery,2,Hub Logístico,2,En tránsito,2020-02-06,2020-02-10
234,330,3,Flash Delivery,3,Centro Oeste,1,En preparación,2020-02-06,2020-02-09
235,331,3,Logística Express,2,Hub Logístico,3,Entregado,2020-02-05,2020-02-07
236,332,3,Logística Express,1,Centro Norte,3,Entregado,2020-02-05,2020-02-10
237,333,4,QuickSend,4,Depósito Sur,2,En tránsito,2020-02-06,2020-02-10
238,334,1,Logística Express,4,Depósito Sur,1,En preparación,2020-02-06,2020-02-08
239,336,3,Flash Delivery,2,Hub Logístico,1,En preparación,2020-02-05,2020-02-06
240,337,1,Envios Nacionales,1,Centro Norte,3,Entregado,2020-02-07,2020-02-08
241,339,1,Envios Nacionales,3,Centro Oeste,3,Entregado,2020-02-06,2020-02-08
242,340,4,QuickSend,3,Centro Oeste,4,Devuelto,2020-02-06,2020-02-07
243,341,3,Envios Nacionales,1,Centro Norte,2,En tránsito,2020-02-05,2020-02-09
244,342,2,Logística Express,3,Centro Oeste,2,En tránsito,2020-02-07,2020-02-10
245,343,1,Envios Nacionales,2,Hub Logístico,4,Devuelto,2020-02-07,2020-02-11
246,344,4,Flash Delivery,2,Hub Logístico,4,Devuelto,2020-02-05,2020-02-09
247,345,2,QuickSend,2,Hub Logístico,3,Entregado,2020-02-07,2020-02-11
248,346,4,QuickSend,4,Depósito Sur,2,En tránsito,2020-02-05,2020-02-08
249,347,2,Flash Delivery,2,Hub Logístico,3,Entregado,2020-02-06,2020-02-08
250,348,4,QuickSend,2,Hub Logístico,3,Entregado,2020-02-07,2020-02-10
251,349,4,Envios Nacionales,1,Centro Norte,3,Entregado,2020-02-05,2020-02-06
252,350,2,Envios Nacionales,1,Centro Norte,4,Devuelto,2020-02-06,2020-02-08
253,351,4,Flash Delivery,1,Centro Norte,3,Entregado,2020-02-06,2020-02-09
254,352,3,Envios Nacionales,2,Hub Logístico,1,En preparación,2020-02-08,2020-02-09
255,353,3,QuickSend,3,Centro Oeste,1,En preparación,2020-02-06,2020-02-10
256,355,4,Flash Delivery,4,Depósito Sur,1,En preparación,2020-02-06,2020-02-08
257,356,1,Flash Delivery,3,Centro Oeste,1,En preparación,2020-02-06,2020-02-09
258,357,2,QuickSend,3,Centro Oeste,4,Devuelto,2020-02-06,2020-02-10
259,358,4,Envios Nacionales,4,Depósito Sur,2,En tránsito,2020-02-06,2020-02-09
260,359,4,Logística Express,1,Centro Norte,1,En preparación,2020-02-08,2020-02-13
261,360,2,Envios Nacionales,3,Centro Oeste,2,En tránsito,2020-02-06,2020-02-09
262,361,2,Flash Delivery,4,Depósito Sur,4,Devuelto,2020-02-08,2020-02-10
263,362,3,Logística Express,1,Centro Norte,3,Entregado,2020-02-09,2020-02-12
264,363,2,QuickSend,2,Hub Logístico,4,Devuelto,2020-02-07,2020-02-08
265,364,2,Flash Delivery,4,Depósito Sur,2,En tránsito,2020-02-07,2020-02-09
266,365,1,Envios Nacionales,2,Hub Logístico,3,Entregado,2020-02-09,2020-02-11
267,367,4,Logística Express,2,Hub Logístico,3,Entregado,2020-02-09,2020-02-14
268,368,2,Flash Delivery,4,Depósito Sur,1,En preparación,2020-02-09,2020-02-11
269,369,3,Envios Nacionales,2,Hub Logístico,3,Entregado,2020-02-08,2020-02-13
270,370,3,Flash Delivery,3,Centro Oeste,2,En tránsito,2020-02-10,2020-02-11
271,371,2,Envios Nacionales,2,Hub Logístico,4,Devuelto,2020-02-09,2020-02-10
272,372,1,Logística Express,1,Centro Norte,2,En tránsito,2020-02-10,2020-02-12
273,374,1,Envios Nacionales,3,Centro Oeste,1,En preparación,2020-02-11,2020-02-15
274,375,1,Flash Delivery,1,Centro Norte,4,Devuelto,2020-02-09,2020-02-14
275,376,2,Logística Express,3,Centro Oeste,4,Devuelto,2020-02-09,2020-02-12
276,378,1,QuickSend,3,Centro Oeste,3,Entregado,2020-02-11,2020-02-14
277,380,1,QuickSend,2,Hub Logístico,3,Entregado,2020-02-09,2020-02-14
278,381,4,QuickSend,2,Hub Logístico,2,En tránsito,2020-02-10,2020-02-15
279,384,2,Flash Delivery,1,Centro Norte,3,Entregado,2020-02-10,2020-02-12
280,385,2,Logística Express,2,Hub Logístico,2,En tránsito,2020-02-11,2020-02-16
281,386,4,Envios Nacionales,2,Hub Logístico,2,En tránsito,2020-02-12,2020-02-13
282,387,2,Logística Express,2,Hub Logístico,3,Entregado,2020-02-10,2020-02-12
283,389,4,Flash Delivery,4,Depósito Sur,4,Devuelto,2020-02-10,2020-02-12
284,390,2,Envios Nacionales,1,Centro Norte,4,Devuelto,2020-02-11,2020-02-15
285,392,3,Envios Nacionales,2,Hub Logístico,4,Devuelto,2020-02-12,2020-02-17
286,396,2,Envios Nacionales,4,Depósito Sur,2,En tránsito,2020-02-11,2020-02-12
287,397,4,Envios Nacionales,1,Centro Norte,3,Entregado,2020-02-12,2020-02-17
288,398,4,Logística Express,2,Hub Logístico,2,En tránsito,2020-02-12,2020-02-14
289,399,2,Logística Express,2,Hub Logístico,2,En tránsito,2020-02-12,2020-02-16
290,400,3,Envios Nacionales,4,Depósito Sur,2,En tránsito,2020-02-13,2020-02-18
291,402,3,Flash Delivery,1,Centro Norte,1,En preparación,2020-02-13,2020-02-17
292,403,3,Logística Express,3,Centro Oeste,4,Devuelto,2020-02-11,2020-02-14
293,404,1,Envios Nacionales,4,Depósito Sur,2,En tránsito,2020-02-12,2020-02-15
294,405,4,Envios Nacionales,2,Hub Logístico,2,En tránsito,2020-02-13,2020-02-17
295,406,3,Logística Express,3,Centro Oeste,3,Entregado,2020-02-13,2020-02-16
296,408,1,Logística Express,1,Centro Norte,1,En preparación,2020-02-13,2020-02-16
297,409,2,Logística Express,1,Centro Norte,3,Entregado,2020-02-13,2020-02-16
298,412,4,Flash Delivery,2,Hub Logístico,1,En preparación,2020-02-12,2020-02-16
299,413,4,Envios Nacionales,2,Hub Logístico,1,En preparación,2020-02-14,2020-02-15
300,414,3,Logística Express,2,Hub Logístico,1,En preparación,2020-02-14,2020-02-15
301,415,2,QuickSend,2,Hub Logístico,1,En preparación,2020-02-13,2020-02-16
302,417,1,Flash Delivery,1,Centro Norte,4,Devuelto,2020-02-12,2020-02-15
303,418,2,Logística Express,1,Centro Norte,3,Entregado,2020-02-14,2020-02-16
304,419,3,Envios Nacionales,1,Centro Norte,3,Entregado,2020-02-14,2020-02-17
305,421,4,Logística Express,3,Centro Oeste,2,En tránsito,2020-02-14,2020-02-16
306,422,4,Envios Nacionales,4,Depósito Sur,2,En tránsito,2020-02-15,2020-02-19
307,423,4,Flash Delivery,4,Depósito Sur,2,En tránsito,2020-02-14,2020-02-15
308,424,1,Envios Nacionales,4,Depósito Sur,1,En preparación,2020-02-14,2020-02-16
309,425,4,Flash Delivery,1,Centro Norte,4,Devuelto,2020-02-14,2020-02-18
310,428,4,Flash Delivery,1,Centro Norte,2,En tránsito,2020-02-14,2020-02-18
311,429,3,Envios Nacionales,3,Centro Oeste,2,En tránsito,2020-02-13,2020-02-17
