CodCliente,RazonSocial,Telefono,Mail,Direccion,Localidad,Provincia,CP
42,Dunder Mifflin 42,54990367363,user42@empresa.com,Calle Ficticia 970,Norte,Buenos Aires,6201
43,Wayne Ent. 43,54993837808,user43@empresa.com,Calle Ficticia 540,Norte,Santa Fe,6312
44,Globex 44,54951027603,user44@empresa.com,Calle Ficticia 728,Sur,Mendoza,5383
45,Globex 45,54975686112,user45@empresa.com,Calle Ficticia 752,Este,Buenos Aires,8732
46,ACME Corp 46,54935057098,user46@empresa.com,Calle Ficticia 144,Este,Tucumán,4675
47,Dunder Mifflin 47,54919962871,user47@empresa.com,Calle Ficticia 384,Este,Mendoza,7545
48,Globex 48,54914659454,user48@empresa.com,Calle Ficticia 616,Oeste,Buenos Aires,2013
49,Globex 49,54947043967,user49@empresa.com,Calle Ficticia 824,Oeste,Buenos Aires,4455
50,Dunder Mifflin 50,54941688248,user50@empresa.com,Calle Ficticia 612,Este,Tucumán,3589
51,Wayne Ent. 51,54987065463,user51@empresa.com,Calle Ficticia 165,Centro,Buenos Aires,3647
52,Globex 52,54961298723,user52@empresa.com,Calle Ficticia 468,Centro,Buenos Aires,4001
53,Wayne Ent. 53,54994915770,user53@empresa.com,Calle Ficticia 452,Norte,Santa Fe,8726
54,Wayne Ent. 54,54977140935,user54@empresa.com,Calle Ficticia 850,Este,Buenos Aires,8856
55,Dunder Mifflin 55,54974714214,user55@empresa.com,Calle Ficticia 42,Oeste,Buenos Aires,7616
56,Globex 56,54969661064,user56@empresa.com,Calle Ficticia 646,Oeste,Santa Fe,1878
57,ACME Corp 57,54967884310,user57@empresa.com,Calle Ficticia 407,Norte,Córdoba,4675
58,Dunder Mifflin 58,54941613864,user58@empresa.com,Calle Ficticia 8,Este,Tucumán,7452
59,Dunder Mifflin 59,54943792394,user59@empresa.com,Calle Ficticia 501,Centro,Santa Fe,5562
60,ACME Corp 60,54918438912,user60@empresa.com,Calle Ficticia 582,Centro,Buenos Aires,7339
61,Wayne Ent. 61,54983136674,user61@empresa.com,Calle Ficticia 772,Centro,Córdoba,5220
62,ACME Corp 62,54981631354,user62@empresa.com,Calle Ficticia 45,Centro,Tucumán,1495
63,Dunder Mifflin 63,54950575487,user63@empresa.com,Calle Ficticia 258,Oeste,Mendoza,5186
64,Globex 64,54952710251,user64@empresa.com,Calle Ficticia 838,Centro,Mendoza,8949
65,Dunder Mifflin 65,54990985281,user65@empresa.com,Calle Ficticia 95,Oeste,Córdoba,5580
66,Wayne Ent. 66,54912989921,user66@empresa.com,Calle Ficticia 224,Este,Córdoba,4182
67,ACME Corp 67,54928851041,user67@empresa.com,Calle Ficticia 708,Norte,Tucumán,4460
68,Wayne Ent. 68,54940316146,user68@empresa.com,Calle Ficticia 581,Este,Buenos Aires,6773
69,Globex 69,54927116365,user69@empresa.com,Calle Ficticia 693,Norte,Buenos Aires,7296
70,Wayne Ent. 70,54982350456,user70@empresa.com,Calle Ficticia 385,Este,Tucumán,8911
71,ACME Corp 71,54974771972,user71@empresa.com,Calle Ficticia 760,Este,Mendoza,8794
72,Globex 72,54983181033,user72@empresa.com,Calle Ficticia 959,Centro,Santa Fe,1807
73,Globex 73,54956382234,user73@empresa.com,Calle Ficticia 733,Este,Buenos Aires,2988
74,ACME Corp 74,54961559644,user74@empresa.com,Calle Ficticia 939,Norte,Mendoza,4887
75,Wayne Ent. 75,54985690641,user75@empresa.com,Calle Ficticia 74,Este,Córdoba,8046
76,Globex 76,54917313950,user76@empresa.com,Calle Ficticia 763,Centro,Tucumán,6334
77,Wayne Ent. 77,54997605627,user77@empresa.com,Calle Ficticia 149,Sur,Mendoza,3795
78,Globex 78,54932143062,user78@empresa.com,Calle Ficticia 866,Oeste,Córdoba,6227
79,Globex 79,54944000130,user79@empresa.com,Calle Ficticia 916,Oeste,Buenos Aires,6373
80,Globex 80,54962151542,user80@empresa.com,Calle Ficticia 351,Este,Mendoza,3430
81,ACME Corp 81,54924442993,user81@empresa.com,Calle Ficticia 336,Oeste,Tucumán,5717
82,Wayne Ent. 82,54974395326,user82@empresa.com,Calle Ficticia 602,Centro,Buenos Aires,7210
83,Wayne Ent. 83,54984427788,user83@empresa.com,Calle Ficticia 57,Este,Mendoza,6318
84,Dunder Mifflin 84,54983978957,user84@empresa.com,Calle Ficticia 410,Norte,Tucumán,1892
85,Globex 85,54959956041,user85@empresa.com,Calle Ficticia 186,Sur,Santa Fe,7914
86,Dunder Mifflin 86,54976660326,user86@empresa.com,Calle Ficticia 572,Este,Mendoza,2110
87,Wayne Ent. 87,54948601953,user87@empresa.com,Calle Ficticia 190,Sur,Buenos Aires,3903
88,Dunder Mifflin 88,54997617023,user88@empresa.com,Calle Ficticia 165,Este,Córdoba,4699
89,ACME Corp 89,54957712928,user89@empresa.com,Calle Ficticia 593,Norte,Santa Fe,4128
90,Wayne Ent. 90,54969742279,user90@empresa.com,Calle Ficticia 355,Norte,Buenos Aires,7968
91,Dunder Mifflin 91,54940374605,user91@empresa.com,Calle Ficticia 511,Norte,Santa Fe,6841
92,Globex 92,54998863358,user92@empresa.com,Calle Ficticia 466,Centro,Buenos Aires,2925
93,Globex 93,54977004117,user93@empresa.com,Calle Ficticia 384,Norte,Córdoba,1226
94,Dunder Mifflin 94,54948740265,user94@empresa.com,Calle Ficticia 134,Norte,Buenos Aires,7758
95,Globex 95,54989046481,user95@empresa.com,Calle Ficticia 827,Sur,Tucumán,3657
96,Wayne Ent. 96,54961616022,user96@empresa.com,Calle Ficticia 511,Sur,Tucumán,8519
97,Dunder Mifflin 97,54926352371,user97@empresa.com,Calle Ficticia 491,Oeste,Córdoba,6266
98,Wayne Ent. 98,54912182890,user98@empresa.com,Calle Ficticia 58,Este,Tucumán,5161
99,ACME Corp 99,54986866233,user99@empresa.com,Calle Ficticia 725,Sur,Mendoza,4740
100,Wayne Ent. 100,54975989529,user100@empresa.com,Calle Ficticia 256,Centro,Buenos Aires,3490
